id_driver,date_registration,driver_rating,gold_level_count,receive_marketing,country,service_type,month
56495706,12/30/2019,4.96,0,TRUE,Gremany,PHV,December
17543753,6/29/2016,4.96,5,TRUE,Spain,TAXI,June
30896290,7/25/2018,4.91,34,TRUE,Spain,TAXI,July
29207625,6/12/2018,5,51,TRUE,Gremany,TAXI,June
9324928,1/15/2014,4.92,67,FALSE,Gremany,TAXI,January
34766739,2/1/2019,4.97,51,TRUE,Gremany,TAXI,February
58638457,5/27/2020,4.95,0,TRUE,Gremany,PHV,May
43466511,2/28/2019,4.88,4,FALSE,Spain,TAXI,February
19942584,8/14/2013,4.91,41,TRUE,Spain,TAXI,August
8315215,11/8/2013,4.99,22,TRUE,Gremany,TAXI,November
13438150,1/2/2015,4.88,0,TRUE,Gremany,TAXI,January
16845015,4/26/2016,4.9,61,TRUE,Gremany,TAXI,April
28228433,5/16/2018,4.92,0,TRUE,Gremany,TAXI,May
30431425,7/13/2018,4.99,33,TRUE,Gremany,TAXI,July
1367195,6/13/2012,4.9,5,FALSE,Gremany,TAXI,June
16709226,4/13/2016,4.97,0,TRUE,Spain,TAXI,April
55986595,12/12/2019,4.83,0,TRUE,Spain,TAXI,December
16117759,2/12/2016,4.86,45,TRUE,Spain,TAXI,February
27665248,4/27/2018,4.78,27,TRUE,Gremany,TAXI,April
15054189,10/26/2015,5,24,TRUE,Gremany,TAXI,October
24982243,1/2/2018,4.86,23,TRUE,Gremany,TAXI,January
57152743,1/29/2020,4.95,0,TRUE,Gremany,PHV,January
4464873,2/18/2013,4.86,81,TRUE,Gremany,TAXI,February
43466363,2/28/2019,4.75,6,TRUE,Spain,TAXI,February
16707568,4/13/2016,4.93,11,TRUE,Spain,TAXI,April
27397856,4/18/2018,4.94,22,FALSE,Spain,TAXI,April
21062553,5/11/2017,4.9,55,TRUE,Spain,TAXI,May
33815469,12/14/2018,4.98,41,TRUE,Spain,TAXI,December
3043858,11/16/2012,4.97,73,FALSE,Gremany,TAXI,November
48394717,3/21/2019,4.81,8,TRUE,Gremany,TAXI,March
18852519,10/27/2016,4.89,6,TRUE,Gremany,TAXI,October
457231,11/23/2011,4.95,17,TRUE,Gremany,TAXI,November
55335631,11/14/2019,4.68,2,TRUE,Spain,TAXI,November
27634851,4/26/2018,4.98,73,TRUE,Gremany,TAXI,April
53846676,9/13/2019,4.62,0,TRUE,Gremany,PHV,September
19645935,1/9/2017,4.99,14,FALSE,Spain,TAXI,January
12708181,10/22/2014,4.96,1,TRUE,Spain,TAXI,October
53343292,8/22/2019,4.98,1,FALSE,Gremany,TAXI,August
18689601,10/13/2016,5,70,TRUE,Gremany,TAXI,October
16478391,3/23/2016,4.64,20,TRUE,Spain,TAXI,March
47682414,3/12/2019,4.95,14,FALSE,Spain,TAXI,March
53632916,9/4/2019,4.88,16,TRUE,Spain,TAXI,September
18244359,9/7/2016,4.9,49,TRUE,Gremany,TAXI,September
57004267,1/22/2020,4.95,38,TRUE,Spain,TAXI,January
55607029,11/27/2019,4.81,1,FALSE,Spain,TAXI,November
1080680,3/15/2012,4.84,63,TRUE,Gremany,TAXI,March
19230594,12/2/2016,4.96,2,TRUE,Spain,TAXI,December
24706280,12/18/2017,4.96,19,FALSE,Gremany,TAXI,December
279846,9/2/2011,4.92,0,TRUE,Gremany,TAXI,September
25816410,2/26/2018,4.88,10,TRUE,Spain,TAXI,February
28783341,6/1/2018,4.99,56,TRUE,Gremany,TAXI,June
16419444,3/18/2016,4.84,2,FALSE,Gremany,TAXI,March
19298651,12/9/2016,4.96,2,TRUE,Gremany,TAXI,December
18689462,10/13/2016,4.91,37,TRUE,Gremany,TAXI,October
23748241,10/16/2017,4.94,8,TRUE,Gremany,TAXI,October
16788592,4/21/2016,4.99,23,TRUE,Gremany,TAXI,April
26321009,3/14/2018,4.97,8,TRUE,Gremany,TAXI,March
21869621,6/13/2017,4.96,65,TRUE,Gremany,TAXI,June
2261871,9/17/2012,4.95,0,FALSE,Gremany,TAXI,September
32393682,10/8/2018,4.99,0,FALSE,Gremany,TAXI,October
53971297,9/18/2019,4.89,5,TRUE,Gremany,PHV,September
218903,7/21/2011,4.96,0,FALSE,Gremany,TAXI,July
53168290,8/14/2019,4.23,4,FALSE,Spain,TAXI,August
34576126,1/21/2019,4.94,0,FALSE,Gremany,TAXI,January
57974305,3/3/2020,4.79,4,TRUE,Spain,TAXI,March
54146534,9/25/2019,4.82,1,FALSE,Gremany,TAXI,September
56847248,1/14/2020,4.91,0,TRUE,Gremany,PHV,January
20053390,7/9/2016,4.95,29,FALSE,Spain,TAXI,July
27634939,4/26/2018,4.87,11,TRUE,Gremany,TAXI,April
7701935,9/24/2013,4.81,75,TRUE,Gremany,TAXI,September
1098712,3/23/2012,4.85,0,TRUE,Gremany,TAXI,March
17323178,6/9/2016,4.82,0,TRUE,Gremany,TAXI,June
17553738,6/30/2016,4.92,1,TRUE,Gremany,TAXI,June
14929953,10/7/2015,4.92,77,TRUE,Gremany,TAXI,October
53755433,9/9/2019,4.7,0,TRUE,Gremany,PHV,September
55626128,11/28/2019,4.9,8,TRUE,Spain,TAXI,November
2448593,10/1/2012,4.95,29,TRUE,Gremany,TAXI,October
34644672,1/25/2019,4.94,34,TRUE,Gremany,TAXI,January
3525490,12/19/2012,4.9,28,FALSE,Gremany,TAXI,December
15167437,11/5/2015,4.96,13,TRUE,Gremany,TAXI,November
19904836,10/19/2016,4.91,5,TRUE,Spain,TAXI,October
47534902,3/5/2019,4.86,5,TRUE,Gremany,TAXI,March
54699164,10/17/2019,4.88,10,TRUE,Gremany,TAXI,October
33769639,12/12/2018,4.95,2,TRUE,Gremany,TAXI,December
21585725,5/24/2017,4.96,79,TRUE,Gremany,TAXI,May
34369730,1/8/2019,4.99,32,TRUE,Spain,TAXI,January
32285806,10/3/2018,4.93,57,TRUE,Spain,TAXI,October
28969356,6/6/2018,4.83,6,TRUE,Spain,TAXI,June
12483519,9/26/2014,4.84,2,TRUE,Spain,TAXI,September
55462327,11/20/2019,4.91,0,FALSE,Gremany,PHV,November
14697614,9/4/2015,4.92,29,FALSE,Gremany,TAXI,September
26955065,4/3/2018,4.93,0,FALSE,Gremany,TAXI,April
15203318,11/11/2015,4.95,8,TRUE,Spain,TAXI,November
9603657,2/6/2014,4.99,3,TRUE,Spain,TAXI,February
16295911,3/4/2016,4.91,0,TRUE,Gremany,TAXI,March
20046955,5/29/2013,4.94,9,TRUE,Spain,TAXI,May
14375099,6/29/2015,4.86,20,FALSE,Spain,TAXI,June
31592373,8/30/2018,4.97,13,TRUE,Gremany,TAXI,August
14378984,6/30/2015,4.97,23,FALSE,Spain,TAXI,June
55648784,11/29/2019,4.82,0,TRUE,Gremany,PHV,November
18390806,9/20/2016,4.89,81,TRUE,Gremany,TAXI,September
56729574,1/8/2020,5,0,TRUE,Gremany,PHV,January
29819427,6/28/2018,4.87,36,FALSE,Spain,TAXI,June
23240330,9/15/2017,4.94,59,FALSE,Gremany,TAXI,September
24080112,11/9/2017,4.88,7,TRUE,Spain,TAXI,November
25142298,1/17/2018,4.91,3,FALSE,Spain,TAXI,January
55190819,11/7/2019,4.98,0,TRUE,Gremany,PHV,November
54482350,10/8/2019,4.91,0,TRUE,Gremany,PHV,October
18039697,8/17/2016,4.57,1,FALSE,Gremany,TAXI,August
31825858,9/11/2018,4.75,48,TRUE,Spain,TAXI,September
31950312,9/17/2018,4.96,0,TRUE,Spain,TAXI,September
1358819,6/11/2012,4.91,3,TRUE,Gremany,TAXI,June
2535,5/29/2011,4.93,0,FALSE,Gremany,TAXI,May
31741857,9/7/2018,4.97,48,TRUE,Gremany,TAXI,September
9603505,2/6/2014,4.92,42,FALSE,Spain,TAXI,February
10373441,4/16/2014,4.95,20,TRUE,Gremany,TAXI,April
54828649,10/22/2019,4.97,0,TRUE,Gremany,PHV,October
1759003,8/6/2012,4.85,0,FALSE,Gremany,TAXI,August
34476428,1/15/2019,4.91,37,TRUE,Spain,TAXI,January
31860187,9/13/2018,4.98,0,FALSE,Gremany,TAXI,September
16230595,2/25/2016,4.89,39,TRUE,Gremany,TAXI,February
43449234,2/27/2019,4.99,14,TRUE,Gremany,TAXI,February
1064,5/29/2011,4.98,0,FALSE,Gremany,TAXI,May
21868586,6/13/2017,4.99,2,FALSE,Gremany,TAXI,June
9758093,2/20/2014,4.58,0,TRUE,Gremany,TAXI,February
13875992,3/25/2015,4.99,6,TRUE,Gremany,TAXI,March
4494997,2/20/2013,4.72,0,TRUE,Spain,TAXI,February
25884890,2/28/2018,4.93,2,TRUE,Spain,TAXI,February
7125605,8/16/2013,4.8,1,TRUE,Gremany,TAXI,August
13001201,11/21/2014,4.96,106,TRUE,Gremany,TAXI,November
16781881,4/20/2016,4.92,0,TRUE,Gremany,TAXI,April
54145003,9/25/2019,4.96,0,TRUE,Gremany,PHV,September
399668,11/3/2011,4.53,7,TRUE,Gremany,TAXI,November
14135740,5/13/2015,4.86,8,TRUE,Gremany,TAXI,May
20555348,4/3/2017,4.95,58,TRUE,Gremany,TAXI,April
2299291,9/20/2012,4.95,2,TRUE,Gremany,TAXI,September
17603967,7/4/2016,4.75,0,TRUE,Gremany,TAXI,July
15074882,10/29/2015,4.9,108,FALSE,Gremany,TAXI,October
18745732,10/17/2016,4.96,15,TRUE,Gremany,TAXI,October
1373528,6/14/2012,4.83,87,TRUE,Gremany,TAXI,June
54479146,10/8/2019,4.9,0,TRUE,Gremany,PHV,October
16642255,4/8/2016,4.93,18,TRUE,Gremany,TAXI,April
56320628,12/23/2019,4.77,0,TRUE,Gremany,PHV,December
33018745,11/6/2018,4.96,5,TRUE,Spain,TAXI,November
25387195,2/7/2018,4.94,42,FALSE,Gremany,TAXI,February
12717872,10/23/2014,4.62,2,TRUE,Spain,TAXI,October
17691365,7/13/2016,4.81,80,TRUE,Spain,TAXI,July
28719190,5/30/2018,4.99,13,TRUE,Gremany,TAXI,May
56147709,12/17/2019,4.85,12,TRUE,Spain,TAXI,December
25284731,1/29/2018,4.93,2,TRUE,Spain,TAXI,January
24146431,11/13/2017,4.95,11,TRUE,Spain,TAXI,November
51068850,6/5/2019,4.9,10,FALSE,Spain,TAXI,June
9814054,2/25/2014,4.96,22,FALSE,Gremany,TAXI,February
27632505,4/26/2018,4.97,35,TRUE,Gremany,TAXI,April
21466721,5/23/2017,4.98,44,TRUE,Gremany,TAXI,May
14541010,7/30/2015,4.96,0,TRUE,Gremany,TAXI,July
8563513,11/27/2013,5,34,TRUE,Gremany,PHV,November
56496454,12/30/2019,4.84,0,TRUE,Gremany,PHV,December
22646961,8/3/2017,4.9,5,TRUE,Spain,TAXI,August
20234239,10/21/2013,4.81,71,TRUE,Spain,TAXI,October
57174565,1/30/2020,4.9,3,TRUE,Gremany,PHV,January
33019082,11/6/2018,4.67,22,TRUE,Spain,TAXI,November
951536,2/9/2012,4.27,0,TRUE,Gremany,TAXI,February
6770703,7/24/2013,4.9,42,TRUE,Gremany,TAXI,July
222697,7/22/2011,4.86,10,FALSE,Gremany,TAXI,July
16326883,3/7/2016,4.94,10,TRUE,Gremany,TAXI,March
24277613,11/22/2017,4.9,21,FALSE,Gremany,TAXI,November
53169000,8/14/2019,4.8,23,FALSE,Spain,TAXI,August
4664650,3/5/2013,4.9,36,TRUE,Spain,TAXI,March
21671462,5/30/2017,4.91,3,FALSE,Gremany,TAXI,May
24990471,1/3/2018,4.96,3,TRUE,Spain,TAXI,January
17970102,8/9/2016,4.66,50,FALSE,Gremany,TAXI,August
34580358,1/21/2019,4.95,2,FALSE,Gremany,TAXI,January
19971151,5/13/2013,4.95,46,TRUE,Spain,TAXI,May
57601424,2/18/2020,5,0,FALSE,Gremany,TAXI,February
1183653,4/25/2012,4.85,9,FALSE,Gremany,TAXI,April
4425302,2/15/2013,4.95,30,TRUE,Gremany,TAXI,February
6036006,6/5/2013,4.05,11,FALSE,Gremany,TAXI,June
18576524,10/5/2016,4.88,63,TRUE,Gremany,TAXI,October
14633950,8/21/2015,4.95,25,TRUE,Gremany,TAXI,August
21785711,6/7/2017,4.86,90,TRUE,Gremany,TAXI,June
24497832,12/6/2017,4.85,0,FALSE,Gremany,TAXI,December
1043151,3/1/2012,4.88,0,TRUE,Gremany,TAXI,March
14329074,6/19/2015,4.94,14,FALSE,Gremany,TAXI,June
20474401,3/7/2014,4.76,0,TRUE,Spain,TAXI,March
54483881,10/8/2019,5,0,TRUE,Gremany,PHV,October
25125282,1/15/2018,4.91,27,TRUE,Spain,TAXI,January
56195198,12/19/2019,4.92,0,TRUE,Gremany,PHV,December
22936143,8/24/2017,4.93,4,TRUE,Gremany,TAXI,August
57822819,2/27/2020,4.98,0,TRUE,Gremany,PHV,February
22087134,6/28/2017,4.98,65,TRUE,Gremany,TAXI,June
23321149,9/20/2017,4.74,5,FALSE,Gremany,TAXI,September
31947198,9/17/2018,4.83,0,FALSE,Gremany,TAXI,September
24198381,11/17/2017,4.94,0,TRUE,Spain,TAXI,November
3945620,1/10/2013,4.85,117,TRUE,Gremany,TAXI,January
214637,7/20/2011,4.92,11,TRUE,Gremany,TAXI,July
23651203,10/9/2017,4.97,55,TRUE,Spain,TAXI,October
984309,2/15/2012,4.87,3,TRUE,Gremany,TAXI,February
47565791,3/7/2019,4.9,33,TRUE,Spain,TAXI,March
43316315,2/20/2019,4.88,20,TRUE,Spain,TAXI,February
34121828,12/28/2018,4.96,2,TRUE,Gremany,TAXI,December
35575709,2/12/2019,4.97,5,FALSE,Gremany,TAXI,February
22062237,6/26/2017,4.98,7,FALSE,Gremany,TAXI,June
15053229,10/26/2015,4.9,0,FALSE,Gremany,TAXI,October
14230571,5/29/2015,4.97,0,TRUE,Spain,TAXI,May
31073417,8/3/2018,4.94,31,FALSE,Gremany,TAXI,August
2308195,9/21/2012,4.98,40,TRUE,Gremany,TAXI,September
14828184,9/25/2015,4.98,1,FALSE,Gremany,TAXI,September
16178514,2/19/2016,4.98,38,TRUE,Gremany,TAXI,February
46839803,3/1/2019,4.91,0,FALSE,Gremany,TAXI,March
22204709,7/5/2017,4.92,5,TRUE,Gremany,TAXI,July
48367311,3/20/2019,4.86,6,TRUE,Spain,TAXI,March
27398244,4/18/2018,4.87,11,TRUE,Spain,TAXI,April
16296489,3/4/2016,4.92,48,TRUE,Gremany,TAXI,March
33451750,11/27/2018,4.96,1,FALSE,Spain,TAXI,November
16046579,2/4/2016,4.66,1,TRUE,Gremany,TAXI,February
4394526,2/12/2013,4.8,1,TRUE,Gremany,TAXI,February
24273890,11/22/2017,5,2,TRUE,Spain,TAXI,November
6952051,8/6/2013,4.82,2,TRUE,Spain,TAXI,August
32256823,10/1/2018,4.99,15,TRUE,Gremany,TAXI,October
14890613,10/2/2015,4.72,0,FALSE,Gremany,TAXI,October
197912,7/6/2011,4.88,0,TRUE,Gremany,TAXI,July
27458515,4/20/2018,4.8,31,TRUE,Gremany,TAXI,April
33946819,12/20/2018,4.89,4,FALSE,Spain,TAXI,December
30897929,7/25/2018,4.86,16,TRUE,Gremany,TAXI,July
57986828,3/4/2020,4.83,9,TRUE,Gremany,TAXI,March
10499724,4/28/2014,4.82,0,TRUE,Spain,TAXI,April
56147708,12/17/2019,4.74,0,TRUE,Gremany,PHV,December
4107362,1/21/2013,4.82,20,TRUE,Gremany,TAXI,January
57149872,1/29/2020,4.92,0,TRUE,Gremany,PHV,January
53670127,9/6/2019,4.92,1,TRUE,Gremany,PHV,September
222755,7/22/2011,4.99,50,TRUE,Gremany,TAXI,July
19922511,2/15/2017,4.93,45,TRUE,Gremany,TAXI,February
55768475,12/3/2019,4.56,0,FALSE,Gremany,TAXI,December
19907226,3/11/2015,4.92,14,TRUE,Spain,TAXI,March
16156837,2/16/2016,4.67,0,TRUE,Spain,TAXI,February
14375229,6/29/2015,4.99,72,FALSE,Gremany,TAXI,June
17960607,8/8/2016,4.93,7,TRUE,Gremany,TAXI,August
26955508,4/3/2018,4.88,5,TRUE,Gremany,TAXI,April
15815741,1/12/2016,4.73,3,FALSE,Gremany,TAXI,January
51214927,6/10/2019,4.86,5,FALSE,Spain,TAXI,June
32909704,11/1/2018,5,26,FALSE,Gremany,TAXI,November
14962941,10/13/2015,4.8,0,TRUE,Gremany,TAXI,October
8023457,10/18/2013,4.93,7,TRUE,Gremany,TAXI,October
51230655,6/11/2019,4.95,0,FALSE,Spain,TAXI,June
57173861,1/30/2020,4.76,0,TRUE,Gremany,PHV,January
12546211,10/3/2014,4.88,0,TRUE,Spain,TAXI,October
58455881,4/28/2020,4.95,1,TRUE,Gremany,PHV,April
53493756,8/29/2019,4.86,0,FALSE,Gremany,TAXI,August
4680553,3/6/2013,4.96,2,FALSE,Gremany,TAXI,March
13967235,4/15/2015,5,1,TRUE,Gremany,TAXI,April
27160121,4/10/2018,5,3,FALSE,Gremany,TAXI,April
52432474,7/11/2019,5,0,TRUE,Spain,TAXI,July
54200824,9/27/2019,4.95,0,TRUE,Gremany,PHV,September
13775995,3/4/2015,4.88,0,FALSE,Gremany,TAXI,March
53469917,8/28/2019,4.87,0,TRUE,Gremany,PHV,August
53191349,8/15/2019,4.69,0,TRUE,Gremany,PHV,August
58197286,3/12/2020,4.97,0,TRUE,Gremany,PHV,March
55818928,12/5/2019,4.98,0,TRUE,Gremany,PHV,December
48713704,4/3/2019,4.85,1,FALSE,Gremany,TAXI,April
14217334,5/26/2015,4.83,0,FALSE,Spain,TAXI,May
34575955,1/21/2019,4.92,9,TRUE,Gremany,TAXI,January
53514194,8/30/2019,4.98,5,FALSE,Gremany,TAXI,August
32582967,10/18/2018,4.89,6,TRUE,Spain,TAXI,October
1141804,4/12/2012,4.9,73,FALSE,Gremany,TAXI,April
57751983,2/24/2020,4.78,0,FALSE,Gremany,TAXI,February
15340079,11/27/2015,4.9,0,TRUE,Spain,TAXI,November
32586021,10/18/2018,4.61,5,TRUE,Gremany,TAXI,October
57746193,2/24/2020,4.83,0,FALSE,Gremany,TAXI,February
4339155,2/8/2013,4.81,0,TRUE,Gremany,TAXI,February
320203,10/5/2011,4.81,43,FALSE,Gremany,TAXI,October
31988022,9/19/2018,4.82,7,TRUE,Spain,TAXI,September
15901612,1/21/2016,4.86,8,FALSE,Spain,TAXI,January
56725300,1/8/2020,4.93,0,TRUE,Spain,TAXI,January
321353,10/6/2011,4.74,0,TRUE,Gremany,TAXI,October
20238948,4/10/2013,4.8,1,TRUE,Spain,TAXI,April
20472407,3/28/2017,4.97,4,TRUE,Gremany,TAXI,March
19855764,9/2/2016,4.94,19,TRUE,Spain,TAXI,September
25144271,1/17/2018,4.91,1,TRUE,Gremany,TAXI,January
26140623,3/8/2018,4.96,32,FALSE,Gremany,TAXI,March
12856007,11/6/2014,4.99,6,TRUE,Gremany,TAXI,November
34844453,2/5/2019,5,9,TRUE,Spain,TAXI,February
57346413,2/7/2020,5,0,TRUE,Gremany,PHV,February
53348272,8/22/2019,4.89,0,TRUE,Gremany,PHV,August
18339393,9/16/2016,4.99,8,FALSE,Gremany,TAXI,September
17139663,5/23/2016,4.87,7,TRUE,Gremany,TAXI,May
25286171,1/29/2018,4.9,21,TRUE,Gremany,TAXI,January
5948605,5/30/2013,4.94,0,FALSE,Gremany,TAXI,May
58879283,6/17/2020,4.95,1,TRUE,Gremany,TAXI,June
32553982,10/16/2018,4.98,1,FALSE,Gremany,TAXI,October
58516562,5/6/2020,4.94,0,TRUE,Spain,TAXI,May
58632695,5/26/2020,5,0,TRUE,Gremany,PHV,May
3165181,11/26/2012,4.99,15,TRUE,Gremany,TAXI,November
14468306,7/16/2015,4.74,0,TRUE,Gremany,TAXI,July
15593812,12/23/2015,4.79,0,TRUE,Spain,TAXI,December
30832093,7/23/2018,4.92,0,TRUE,Gremany,TAXI,July
14596281,8/11/2015,4.87,0,FALSE,Gremany,TAXI,August
7058843,8/12/2013,4.89,0,FALSE,Gremany,TAXI,August
24381146,11/29/2017,4.82,0,FALSE,Gremany,TAXI,November
32009749,9/20/2018,5,0,TRUE,Gremany,TAXI,September
32604165,10/19/2018,4.99,2,TRUE,Gremany,TAXI,October
52977027,8/5/2019,4.73,0,TRUE,Gremany,PHV,August
58457126,4/28/2020,4.8,0,TRUE,Spain,TAXI,April
24990643,1/3/2018,4.91,9,TRUE,Gremany,TAXI,January
35751558,2/18/2019,4.67,0,TRUE,Gremany,TAXI,February
15332771,11/26/2015,4.79,0,TRUE,Spain,TAXI,November
32915350,11/1/2018,4.87,1,FALSE,Gremany,TAXI,November
15250738,11/16/2015,4.39,0,TRUE,Spain,TAXI,November
19905522,9/5/2013,4.95,1,TRUE,Spain,TAXI,September
33430811,11/26/2018,4.72,0,FALSE,Gremany,TAXI,November
57947374,3/2/2020,5,0,FALSE,Gremany,TAXI,March
58520678,5/7/2020,5,0,TRUE,Gremany,PHV,May
23568808,10/4/2017,4.85,0,TRUE,Spain,TAXI,October
19088186,11/18/2016,4.97,10,FALSE,Gremany,TAXI,November
57768996,2/25/2020,4.95,0,TRUE,Gremany,PHV,February
56695117,1/6/2020,4.8,0,TRUE,Gremany,PHV,January
14390939,7/3/2015,4.89,24,FALSE,Gremany,TAXI,July
2969489,11/10/2012,4.98,1,FALSE,Gremany,TAXI,November
25090828,1/12/2018,4.78,0,TRUE,Gremany,TAXI,January
57742203,2/24/2020,5,0,FALSE,Gremany,TAXI,February
43435547,2/26/2019,4.75,2,TRUE,Spain,TAXI,February
14004384,4/23/2015,4.89,1,FALSE,Gremany,TAXI,April
57636126,2/20/2020,5,0,TRUE,Gremany,PHV,February
54677151,10/16/2019,5,0,TRUE,Gremany,PHV,October
55031827,10/31/2019,,0,FALSE,Gremany,TAXI,October
15986240,1/29/2016,4.9,0,TRUE,Spain,TAXI,January
56124492,12/16/2019,4.64,0,TRUE,Gremany,PHV,December
57845520,2/28/2020,5,0,TRUE,Gremany,PHV,February
48369025,3/20/2019,4.96,2,TRUE,Spain,TAXI,March
24278722,11/22/2017,4.84,0,TRUE,Spain,TAXI,November
54997648,10/29/2019,4.99,0,TRUE,Gremany,TAXI,October
6238878,6/18/2013,4.98,0,FALSE,Gremany,TAXI,June
49321124,4/30/2019,4.95,8,FALSE,Gremany,TAXI,April
25386505,2/7/2018,5,0,FALSE,Spain,TAXI,February
50316543,5/7/2019,4.53,0,FALSE,Gremany,TAXI,May
54695978,10/17/2019,4.94,0,TRUE,Gremany,TAXI,October
48596203,3/29/2019,4.78,2,FALSE,Spain,TAXI,March
31304432,8/15/2018,4.91,9,FALSE,Gremany,TAXI,August
6022806,6/4/2013,4.87,0,FALSE,Spain,TAXI,June
53669118,9/6/2019,4.45,0,TRUE,Gremany,PHV,September
31560083,8/28/2018,5,0,TRUE,Gremany,TAXI,August
58160310,3/10/2020,5,0,TRUE,Gremany,PHV,March
53324409,8/21/2019,4.87,0,TRUE,Gremany,PHV,August
17297931,6/6/2016,4.94,86,TRUE,Gremany,TAXI,June
16530304,3/29/2016,4.85,108,TRUE,Spain,TAXI,March
374,5/29/2011,4.98,52,TRUE,Gremany,TAXI,May
2831886,10/31/2012,4.95,34,TRUE,Gremany,TAXI,October
58427985,4/20/2020,4.97,0,TRUE,Spain,TAXI,April
55610776,11/27/2019,4.86,0,TRUE,Gremany,PHV,November
18844436,10/26/2016,4.89,52,TRUE,Spain,TAXI,October
52886564,8/1/2019,4.99,0,TRUE,Gremany,PHV,August
454334,11/21/2011,4.8,50,TRUE,Gremany,TAXI,November
18763242,10/19/2016,4.76,96,TRUE,Gremany,TAXI,October
21084245,5/12/2017,4.83,18,TRUE,Spain,TAXI,May
25134257,1/16/2018,4.96,14,TRUE,Spain,TAXI,January
54890004,10/25/2019,4.97,0,TRUE,Gremany,PHV,October
